,Regionname,Price
0,Northern Metropolitan,1480000.0
1,Northern Metropolitan,1035000.0
2,Northern Metropolitan,1465000.0
3,Northern Metropolitan,850000.0
4,Northern Metropolitan,1600000.0
5,Northern Metropolitan,941000.0
6,Northern Metropolitan,1876000.0
7,Northern Metropolitan,1636000.0
8,Northern Metropolitan,300000.0
9,Northern Metropolitan,1097000.0
10,Northern Metropolitan,700000.0
11,Northern Metropolitan,1350000.0
12,Northern Metropolitan,750000.0
13,Northern Metropolitan,1172500.0
14,Northern Metropolitan,441000.0
15,Northern Metropolitan,1310000.0
16,Northern Metropolitan,1200000.0
17,Northern Metropolitan,1176500.0
18,Northern Metropolitan,955000.0
19,Northern Metropolitan,890000.0
20,Northern Metropolitan,1330000.0
21,Northern Metropolitan,900000.0
22,Northern Metropolitan,1090000.0
23,Northern Metropolitan,500000.0
24,Northern Metropolitan,1100000.0
25,Northern Metropolitan,1315000.0
26,Northern Metropolitan,426000.0
27,Northern Metropolitan,1447500.0
28,Northern Metropolitan,457000.0
29,Northern Metropolitan,1135000.0
30,Northern Metropolitan,1542000.0
31,Northern Metropolitan,1290000.0
32,Northern Metropolitan,1290000.0
33,Northern Metropolitan,470000.0
34,Northern Metropolitan,1180000.0
35,Northern Metropolitan,1195000.0
36,Northern Metropolitan,1012500.0
37,Northern Metropolitan,1030000.0
38,Western Metropolitan,840000.0
39,Western Metropolitan,730000.0
40,Western Metropolitan,770000.0
41,Western Metropolitan,603000.0
42,Western Metropolitan,700000.0
43,Western Metropolitan,600000.0
44,Western Metropolitan,500000.0
45,Western Metropolitan,720000.0
46,Western Metropolitan,785000.0
47,Western Metropolitan,725000.0
48,Western Metropolitan,450000.0
49,Western Metropolitan,515000.0
50,Western Metropolitan,530000.0
51,Western Metropolitan,895000.0
52,Western Metropolitan,805000.0
53,Western Metropolitan,752000.0
54,Western Metropolitan,440000.0
55,Western Metropolitan,755000.0
56,Western Metropolitan,700000.0
57,Western Metropolitan,830000.0
58,Western Metropolitan,462500.0
59,Western Metropolitan,670000.0
60,Western Metropolitan,675000.0
61,Western Metropolitan,1042000.0
62,Western Metropolitan,910000.0
63,Western Metropolitan,773000.0
64,Western Metropolitan,810000.0
65,Western Metropolitan,715000.0
66,Western Metropolitan,790000.0
67,Western Metropolitan,540000.0
68,Western Metropolitan,825000.0
69,Western Metropolitan,685000.0
70,Western Metropolitan,805000.0
71,Western Metropolitan,510000.0
72,Western Metropolitan,612000.0
73,Western Metropolitan,662000.0
74,Western Metropolitan,978000.0
75,Western Metropolitan,720000.0
76,Western Metropolitan,765000.0
77,Western Metropolitan,900000.0
78,Southern Metropolitan,1275000.0
79,Southern Metropolitan,1455000.0
80,Southern Metropolitan,2850000.0
81,Southern Metropolitan,1850000.0
82,Southern Metropolitan,1436000.0
83,Southern Metropolitan,1110000.0
84,Southern Metropolitan,1550000.0
85,Southern Metropolitan,2300000.0
86,Southern Metropolitan,1550000.0
87,Southern Metropolitan,1800000.0
88,Southern Metropolitan,2120000.0
89,Southern Metropolitan,1800000.0
90,Southern Metropolitan,1800000.0
91,Southern Metropolitan,1810000.0
92,Southern Metropolitan,2615000.0
93,Southern Metropolitan,2100000.0
94,Southern Metropolitan,1300000.0
95,Southern Metropolitan,1370000.0
96,Southern Metropolitan,1000000.0
