,Date,Price
0,2016-03-12,1480000.0
1,2016-04-02,1035000.0
2,2017-04-03,1465000.0
3,2017-04-03,850000.0
4,2016-04-06,1600000.0
5,2016-07-05,941000.0
6,2016-07-05,1876000.0
7,2016-08-10,1636000.0
8,2016-08-10,300000.0
9,2016-08-10,1097000.0
10,2016-12-11,700000.0
11,2016-12-11,1350000.0
12,2016-12-11,750000.0
13,2016-08-13,1172500.0
14,2016-05-14,441000.0
15,2016-10-15,1310000.0
16,2016-07-16,1200000.0
17,2016-07-16,1176500.0
18,2016-09-17,955000.0
19,2016-09-17,890000.0
20,2017-03-18,1330000.0
21,2017-03-18,900000.0
22,2017-03-18,1090000.0
23,2016-06-18,500000.0
24,2016-06-18,1100000.0
25,2016-11-19,1315000.0
26,2016-08-22,426000.0
27,2016-08-22,1447500.0
28,2016-08-22,457000.0
29,2016-08-22,1135000.0
30,2016-09-24,1542000.0
31,2017-02-25,1290000.0
32,2017-02-25,1290000.0
33,2016-07-26,470000.0
34,2016-11-27,1180000.0
35,2016-11-27,1195000.0
36,2016-05-28,1012500.0
37,2016-07-30,1030000.0
38,2016-03-09,840000.0
39,2016-03-12,730000.0
40,2017-04-03,770000.0
41,2017-04-03,603000.0
42,2017-04-03,700000.0
43,2017-04-03,600000.0
44,2017-04-03,500000.0
45,2016-06-08,720000.0
46,2016-06-08,785000.0
47,2016-07-05,725000.0
48,2016-07-05,450000.0
49,2016-07-11,515000.0
50,2016-10-09,530000.0
51,2016-10-09,895000.0
52,2016-10-12,805000.0
53,2017-11-02,752000.0
54,2016-08-13,440000.0
55,2016-05-14,755000.0
56,2016-10-15,700000.0
57,2016-04-16,830000.0
58,2016-07-16,462500.0
59,2016-07-16,670000.0
60,2016-07-16,675000.0
61,2016-07-16,1042000.0
62,2016-09-17,910000.0
63,2016-09-17,773000.0
64,2017-03-18,810000.0
65,2017-03-18,715000.0
66,2017-03-18,790000.0
67,2016-06-18,540000.0
68,2016-11-19,825000.0
69,2016-05-22,685000.0
70,2016-08-22,805000.0
71,2016-08-22,510000.0
72,2016-08-22,612000.0
73,2016-04-23,662000.0
74,2016-09-24,978000.0
75,2017-02-25,720000.0
76,2016-11-27,765000.0
77,2016-11-27,900000.0
78,2016-03-09,1275000.0
79,2016-03-09,1455000.0
80,2017-04-03,2850000.0
81,2017-04-03,1850000.0
82,2017-04-03,1436000.0
83,2016-06-08,1110000.0
84,2016-07-05,1550000.0
85,2016-07-05,2300000.0
86,2016-07-11,1550000.0
87,2016-07-11,1800000.0
88,2016-10-09,2120000.0
89,2016-10-09,1800000.0
90,2016-10-09,1800000.0
91,2016-10-12,1810000.0
92,2016-10-12,2615000.0
93,2016-10-12,2100000.0
94,2016-10-12,1300000.0
95,2016-12-06,1370000.0
96,2016-12-11,1000000.0
97,2016-10-15,2575000.0
98,2016-10-15,1322500.0
99,2016-10-15,1562500.0
100,2016-04-16,2000000.0
101,2017-03-18,1900000.0
102,2017-03-18,3010000.0
103,2016-06-18,2800000.0
104,2016-05-22,647000.0
105,2016-04-23,2100000.0
106,2016-09-24,2000000.0
107,2017-02-25,442500.0
108,2017-02-25,4735000.0
109,2017-02-25,1340000.0
110,2017-02-25,1801000.0
111,2016-07-26,1532000.0
112,2016-07-26,3755000.0
113,2016-06-27,2140000.0
114,2016-11-27,1750000.0
115,2016-05-28,980000.0
116,2016-08-28,2030000.0
117,2016-08-28,1740000.0
118,2016-07-30,2800000.0
119,2016-07-30,985000.0
120,2016-03-09,2000000.0
121,2016-03-09,1110000.0
122,2017-04-03,1492000.0
123,2016-08-10,1717500.0
124,2016-12-06,2840000.0
125,2016-12-11,525500.0
126,2016-12-11,805000.0
127,2016-12-11,465000.0
128,2016-10-15,2000000.0
129,2016-04-16,1540000.0
130,2017-03-18,820000.0
131,2016-11-19,1830000.0
132,2016-11-19,2100000.0
133,2016-05-22,865000.0
134,2016-05-22,390000.0
135,2016-09-24,650000.0
136,2017-02-25,512000.0
137,2016-06-27,1165000.0
138,2016-11-27,1900000.0
139,2016-08-28,1485000.0
140,2016-07-30,1950000.0
141,2016-03-09,520000.0
142,2016-03-12,1525000.0
143,2016-04-02,720000.0
144,2017-04-03,1120000.0
145,2016-04-06,780000.0
146,2016-04-06,1780000.0
147,2016-06-08,630000.0
148,2016-06-08,406000.0
149,2016-07-05,660000.0
150,2016-07-11,683500.0
151,2016-08-10,580000.0
152,2016-08-10,1335000.0
153,2016-08-10,800000.0
154,2016-10-09,510000.0
155,2016-10-09,1070000.0
156,2016-10-09,425000.0
157,2016-10-12,605000.0
158,2017-11-02,705000.0
159,2017-11-02,391000.0
160,2017-11-02,440000.0
161,2017-11-02,845000.0
162,2016-12-11,743000.0
163,2016-08-13,730000.0
164,2016-05-14,635000.0
165,2016-05-14,620000.0
166,2016-10-15,447000.0
167,2016-04-16,730000.0
168,2016-04-16,678000.0
169,2016-07-16,580000.0
170,2016-09-17,712000.0
171,2017-03-18,840000.0
172,2016-11-19,980000.0
173,2016-05-22,605100.0
174,2016-08-22,880000.0
175,2016-04-23,577000.0
176,2017-02-25,1030000.0
177,2017-02-25,605000.0
178,2016-06-27,753000.0
179,2016-11-27,857000.0
180,2016-05-28,1500000.0
181,2016-05-28,730000.0
182,2016-05-28,900000.0
183,2016-08-28,740000.0
184,2016-08-28,931000.0
185,2016-07-30,535600.0
186,2016-03-09,1085000.0
187,2016-03-09,781000.0
188,2017-04-03,750000.0
189,2017-04-03,421000.0
190,2017-04-03,1405000.0
191,2016-04-06,683000.0
192,2016-04-06,623000.0
193,2016-06-08,720000.0
194,2016-07-05,588000.0
195,2016-07-11,710000.0
196,2016-08-10,875000.0
197,2016-10-12,700000.0
198,2017-11-03,640000.0
199,2016-12-06,650000.0
200,2016-05-14,675000.0
201,2016-10-15,708000.0
202,2016-10-15,965000.0
203,2016-11-19,680000.0
204,2016-11-19,770000.0
205,2016-05-22,923000.0
206,2016-05-22,693000.0
207,2016-08-22,620000.0
208,2016-08-22,728500.0
209,2016-08-22,931000.0
210,2016-08-22,988000.0
211,2016-04-23,590000.0
212,2016-09-24,610000.0
213,2017-02-25,815000.0
214,2017-02-25,970000.0
215,2016-06-27,760000.0
216,2016-06-27,847500.0
217,2016-11-27,1200000.0
218,2016-11-27,700000.0
219,2016-05-28,625000.0
220,2016-08-28,292000.0
221,2016-03-09,599000.0
222,2016-03-12,550000.0
223,2016-03-12,995000.0
224,2016-03-12,1205000.0
225,2016-03-12,1939000.0
226,2016-03-12,421500.0
227,2017-04-03,1870000.0
228,2017-04-03,678000.0
229,2017-04-03,1918000.0
230,2017-04-03,660000.0
231,2017-04-03,2050000.0
232,2016-04-06,700000.0
233,2016-04-06,3625000.0
234,2016-04-06,3000000.0
235,2016-07-05,1525000.0
236,2016-07-05,735000.0
237,2016-07-05,825000.0
238,2016-07-05,1586000.0
239,2016-08-10,645000.0
240,2016-08-10,1435000.0
241,2016-10-09,280000.0
242,2016-10-12,400000.0
243,2016-10-12,1780000.0
244,2016-10-12,592500.0
245,2016-12-11,1210000.0
246,2016-12-11,2801000.0
247,2016-05-14,390000.0
248,2016-10-15,1800000.0
249,2016-10-15,2200000.0
250,2016-04-16,324000.0
251,2016-09-17,5525000.0
252,2016-09-17,1125000.0
253,2016-09-17,2250000.0
254,2017-03-18,2360000.0
255,2017-03-18,1900000.0
256,2017-03-18,440000.0
257,2016-06-18,490000.0
258,2016-06-18,2365000.0
259,2016-06-18,1300000.0
260,2016-06-18,732000.0
261,2016-11-19,704000.0
262,2016-11-19,620000.0
263,2016-05-22,1900000.0
264,2016-08-22,315000.0
265,2016-09-24,450000.0
266,2017-02-25,710000.0
267,2017-02-25,872000.0
268,2017-02-25,598000.0
269,2017-02-25,1285000.0
270,2017-02-25,3660000.0
271,2016-06-27,520000.0
272,2016-11-27,3625000.0
273,2016-11-27,4200000.0
274,2016-11-27,1101000.0
275,2016-11-27,3512500.0
276,2016-05-28,2000000.0
277,2016-05-28,869000.0
278,2016-08-28,2810000.0
279,2016-08-28,565000.0
280,2016-08-28,567000.0
281,2016-07-30,546000.0
282,2016-07-30,471500.0
283,2016-03-09,455000.0
284,2016-03-12,940000.0
285,2016-03-12,467000.0
286,2017-04-03,1380000.0
287,2017-04-03,490000.0
288,2017-04-03,1850000.0
289,2017-04-03,1284000.0
